"YEAR","MONTH","DAY_OF_MONTH","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","AIR_TIME","FLIGHTS","DISTANCE",
2020,5,21,2020-05-21,"WN","N944WN","SAN","San Diego, CA","SMF","Sacramento, CA","0915","0907",-8.00,"1050","1043",-7.00,79.00,1.00,480.00,
2020,5,21,2020-05-21,"WN","N921WN","SAN","San Diego, CA","SMF","Sacramento, CA","1925","1922",-3.00,"2100","2051",-9.00,75.00,1.00,480.00,
2020,5,21,2020-05-21,"WN","N919WN","SAN","San Diego, CA","STL","St. Louis, MO","1305","1308",3.00,"1830","1824",-6.00,183.00,1.00,1557.00,
2020,5,21,2020-05-21,"WN","N8583Z","SEA","Seattle, WA","OAK","Oakland, CA","1020","1015",-5.00,"1230","1210",-20.00,98.00,1.00,672.00,
2020,5,21,2020-05-21,"WN","N7748A","SEA","Seattle, WA","OAK","Oakland, CA","1305","1305",0.00,"1515","1453",-22.00,92.00,1.00,672.00,
2020,5,21,2020-05-21,"WN","N280WN","SEA","Seattle, WA","SJC","San Jose, CA","1835","1828",-7.00,"2040","2019",-21.00,99.00,1.00,696.00,
2020,5,21,2020-05-21,"WN","N7880D","SEA","Seattle, WA","SJC","San Jose, CA","0910","0904",-6.00,"1120","1102",-18.00,103.00,1.00,696.00,
2020,5,21,2020-05-21,"WN","N7747C","SEA","Seattle, WA","SMF","Sacramento, CA","1130","1128",-2.00,"1330","1309",-21.00,77.00,1.00,605.00,
2020,5,21,2020-05-21,"WN","N945WN","SFO","San Francisco, CA","BUR","Burbank, CA","1225","1218",-7.00,"1345","1322",-23.00,53.00,1.00,326.00,
2020,5,21,2020-05-21,"WN","N7715E","SFO","San Francisco, CA","DEN","Denver, CO","0920","0915",-5.00,"1305","1234",-31.00,124.00,1.00,967.00,
2020,5,21,2020-05-21,"WN","N8640D","SFO","San Francisco, CA","LAS","Las Vegas, NV","0935","0935",0.00,"1115","1046",-29.00,61.00,1.00,414.00,
2020,5,21,2020-05-21,"WN","N8565Z","SFO","San Francisco, CA","LAS","Las Vegas, NV","0700","0702",2.00,"0830","0812",-18.00,61.00,1.00,414.00,
2020,5,21,2020-05-21,"WN","N8631A","SFO","San Francisco, CA","LAS","Las Vegas, NV","1750","1746",-4.00,"1930","1855",-35.00,56.00,1.00,414.00,
2020,5,21,2020-05-21,"WN","N8605E","SFO","San Francisco, CA","LAX","Los Angeles, CA","1735","1731",-4.00,"1915","1828",-47.00,49.00,1.00,337.00,
2020,5,21,2020-05-21,"WN","N8565Z","SFO","San Francisco, CA","ONT","Ontario, CA","1310","1304",-6.00,"1445","1407",-38.00,54.00,1.00,363.00,
2020,5,21,2020-05-21,"WN","N7716A","SFO","San Francisco, CA","PHX","Phoenix, AZ","1430","1425",-5.00,"1640","1605",-35.00,90.00,1.00,651.00,
2020,5,21,2020-05-21,"WN","N8605E","SFO","San Francisco, CA","SAN","San Diego, CA","1250","1245",-5.00,"1430","1402",-28.00,68.00,1.00,447.00,
2020,5,21,2020-05-21,"WN","N421LV","SFO","San Francisco, CA","SAN","San Diego, CA","0810","0803",-7.00,"0945","0916",-29.00,65.00,1.00,447.00,
2020,5,21,2020-05-21,"WN","N247WN","SJC","San Jose, CA","BUR","Burbank, CA","1620","1618",-2.00,"1725","1713",-12.00,45.00,1.00,296.00,
2020,5,21,2020-05-21,"WN","N751SW","SJC","San Jose, CA","BUR","Burbank, CA","1945","1940",-5.00,"2045","2040",-5.00,50.00,1.00,296.00,
2020,5,21,2020-05-21,"WN","N8579Z","SJC","San Jose, CA","DEN","Denver, CO","0710","0729",19.00,"1040","1045",5.00,122.00,1.00,948.00,
2020,5,21,2020-05-21,"WN","N432WN","SJC","San Jose, CA","DEN","Denver, CO","1905","1858",-7.00,"2225","2236",11.00,143.00,1.00,948.00,
2020,5,21,2020-05-21,"WN","N8637A","SJC","San Jose, CA","LAS","Las Vegas, NV","0700","0654",-6.00,"0825","0804",-21.00,57.00,1.00,386.00,
2020,5,21,2020-05-21,"WN","N7880D","SJC","San Jose, CA","LAS","Las Vegas, NV","1200","1155",-5.00,"1325","1310",-15.00,60.00,1.00,386.00,
2020,5,21,2020-05-21,"WN","N462WN","SJC","San Jose, CA","LAS","Las Vegas, NV","0955","0950",-5.00,"1120","1109",-11.00,65.00,1.00,386.00,
2020,5,21,2020-05-21,"WN","N278WN","SJC","San Jose, CA","LAS","Las Vegas, NV","1750","1745",-5.00,"1915","1902",-13.00,55.00,1.00,386.00,
2020,5,21,2020-05-21,"WN","N432WN","SJC","San Jose, CA","LAX","Los Angeles, CA","1250","1247",-3.00,"1415","1349",-26.00,50.00,1.00,308.00,
2020,5,21,2020-05-21,"WN","N8624J","SJC","San Jose, CA","LAX","Los Angeles, CA","0705","0702",-3.00,"0830","0802",-28.00,46.00,1.00,308.00,
2020,5,21,2020-05-21,"WN","N462WN","SJC","San Jose, CA","LGB","Long Beach, CA","1745","1738",-7.00,"1900","1842",-18.00,50.00,1.00,324.00,
2020,5,21,2020-05-21,"WN","N936WN","SJC","San Jose, CA","LGB","Long Beach, CA","1505","1500",-5.00,"1620","1604",-16.00,53.00,1.00,324.00,
2020,5,21,2020-05-21,"WN","N730SW","SJC","San Jose, CA","MDW","Chicago, IL","0810","0818",8.00,"1420","1421",1.00,231.00,1.00,1838.00,
2020,5,21,2020-05-21,"WN","N8676A","SJC","San Jose, CA","ONT","Ontario, CA","0900","0855",-5.00,"1015","0954",-21.00,50.00,1.00,333.00,
2020,5,21,2020-05-21,"WN","N942WN","SJC","San Jose, CA","PDX","Portland, OR","1650","1646",-4.00,"1835","1830",-5.00,88.00,1.00,569.00,
2020,5,21,2020-05-21,"WN","N8508W","SJC","San Jose, CA","PHX","Phoenix, AZ","1925","1925",0.00,"2115","2101",-14.00,82.00,1.00,621.00,
2020,5,21,2020-05-21,"WN","N461WN","SJC","San Jose, CA","SAN","San Diego, CA","1545","1540",-5.00,"1710","1652",-18.00,62.00,1.00,417.00,
2020,5,21,2020-05-21,"WN","N280WN","SJC","San Jose, CA","SAN","San Diego, CA","1105","1101",-4.00,"1225","1216",-9.00,63.00,1.00,417.00,
2020,5,21,2020-05-21,"WN","N944WN","SJC","San Jose, CA","SAN","San Diego, CA","0715","0708",-7.00,"0835","0822",-13.00,61.00,1.00,417.00,
